torch_name,onnx_name
backbone._input_layer.conv.weight,b1.a1.weight
backbone._input_layer.conv.bias,b1.a1.bias
backbone._input_layer.conv_surface.weight,b1.a2.weight
backbone._input_layer.conv_surface.bias,b1.a2.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm1.weight,b1.a14.weight
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm1.bias,b1.a14.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm2.weight,b1.a15.weight
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.norm2.bias,b1.a15.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_8952
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a16.fc1.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_8953
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a16.fc2.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_8950
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_8946
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a12.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_8951
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a13.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm1.weight,b1.a22.weight
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm1.bias,b1.a22.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm2.weight,b1.a23.weight
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.norm2.bias,b1.a23.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9059
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a24.fc1.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9060
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a24.fc2.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9057
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9053
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a20.bias
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9058
backbone.layers.EarthSpecificLayer0.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a21.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm1.weight,b1.a32.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm1.bias,b1.a32.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm2.weight,b1.a33.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.norm2.bias,b1.a33.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9078
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a34.fc1.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_9079
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a34.fc2.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_9076
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_9072
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a30.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_9077
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a31.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.norm1.weight,b1.a40.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.norm1.bias,b1.a40.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.norm2.weight,b1.a41.weight
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.norm2.bias,b1.a41.bias
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9185
backbone.layers.EarthSpecificLayer1.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a42.fc1.bias
